filename	bam_id	indexing_id	sample_id	Count	batch
WTCHG_416540_228152	416540	228152	ORA00004	3757458	2
WTCHG_416540_229140	416540	229140	ORA00022	3815027	2
WTCHG_416540_230128	416540	230128	OAS00024	3326950	2
WTCHG_416540_231116	416540	231116	OAS00052	3337481	2
WTCHG_416540_232104	416540	232104	NCL00024	3718400	2
WTCHG_416540_233187	416540	233187	JIA00027	3190135	2
WTCHG_416540_234175	416540	234175	JIA00037	3366358	2
WTCHG_416540_235163	416540	235163	BHM00132	4041101	2
WTCHG_416540_236151	416540	236151	ORA00007	3235601	2
WTCHG_416540_237139	416540	237139	ORA00028	3741967	2
WTCHG_416540_238127	416540	238127	OAS00028	3979438	2
WTCHG_416540_239115	416540	239115	OAS00053	3143715	2
WTCHG_416540_240103	416540	240103	NCL00025	3062431	2
WTCHG_416540_241186	416540	241186	OAS00014	3695244	2
WTCHG_416540_242174	416540	242174	JIA00043	3403367	2
WTCHG_416540_243162	416540	243162	JIA00029	4100726	2
WTCHG_416540_244150	416540	244150	ORA00016	3406685	2
WTCHG_416540_245138	416540	245138	BHM00091	3621759	2
WTCHG_416540_246126	416540	246126	OAS00039	4100611	2
WTCHG_416540_247114	416540	247114	OAS00054	3298362	2
WTCHG_416540_248102	416540	248102	NCL00026	3697505	2
WTCHG_416540_249185	416540	249185	JIA00031	3822815	2
WTCHG_416540_250173	416540	250173	JIA00046	3297239	2
WTCHG_416540_251161	416540	251161	JIA00040	3415562	2
WTCHG_416540_252149	416540	252149	ORA00027	4111137	2
WTCHG_416540_253137	416540	253137	BHM00138	3396546	2
WTCHG_416540_254125	416540	254125	BHM00121	4087783	2
WTCHG_416540_255113	416540	255113	OAS00065	3066419	2
WTCHG_416540_256101	416540	256101	NCL00028	3896349	2
WTCHG_416540_257196	416540	257196	JIA00002	3821373	2
WTCHG_416540_258184	416540	258184	JIA00032	3048748	2
WTCHG_416540_259172	416540	259172	BHM00074	2867397	2
WTCHG_416540_260160	416540	260160	JIA00047	2751498	2
WTCHG_416540_261148	416540	261148	JIA00053	1083867	2
WTCHG_416540_262136	416540	262136	BHM00139	3214204	2
WTCHG_416540_263124	416540	263124	BHM00140	3315438	2
WTCHG_416540_264112	416540	264112	NCL00020	3337662	2
WTCHG_416540_265195	416540	265195	OAS00004	3263242	2
WTCHG_416540_266183	416540	266183	JIA00019	3678888	2
WTCHG_416540_267171	416540	267171	BHM00113	3049344	2
WTCHG_416540_268159	416540	268159	JIA00048	3523281	2
WTCHG_416540_269147	416540	269147	OAS00008	3142061	2
WTCHG_416540_270135	416540	270135	JIA00055	3036800	2
