WTCHG	seqID	indexingID	sampleID	count	batch
WTCHG_447702_241111	447702	241111	B1025V6	1938885	3
WTCHG_447702_241186	447702	241186	B1020V6	1835832	3
WTCHG_447702_242123	447702	242123	B1025V7	588955	3
WTCHG_447702_242174	447702	242174	B1026V1	1654945	3
WTCHG_447702_243135	447702	243135	B1027V1	1519174	3
WTCHG_447702_243162	447702	243162	B1026V2	1618179	3
WTCHG_447702_244147	447702	244147	B1027V2	1809057	3
WTCHG_447702_244150	447702	244150	B1026V3	1893502	3
WTCHG_447702_245138	447702	245138	B1026V4	1756883	3
WTCHG_447702_245159	447702	245159	B1027V3	1764371	3
WTCHG_447702_246126	447702	246126	B1026V5	1684046	3
WTCHG_447702_246171	447702	246171	B1027V4	1833812	3
WTCHG_447702_247114	447702	247114	B1026V6	1793656	3
WTCHG_447702_247183	447702	247183	B1027V5	811053	3
WTCHG_447702_248102	447702	248102	B1026V7	1910001	3
WTCHG_447702_248195	447702	248195	B1027V6	1743399	3
WTCHG_447702_249112	447702	249112	B1029V1	1673986	3
WTCHG_447702_249185	447702	249185	B1028V2	1734571	3
WTCHG_447702_250124	447702	250124	B1029V2	1759423	3
WTCHG_447702_250173	447702	250173	B1028V4	6015	3
WTCHG_447702_251136	447702	251136	B1029V3	1640018	3
WTCHG_447702_251161	447702	251161	B1028V5	883314	3
WTCHG_447702_252148	447702	252148	B1029V4	1674858	3
WTCHG_447702_252149	447702	252149	B1028V7	1664300	3
WTCHG_447702_253137	447702	253137	B1031V3	1682416	3
WTCHG_447702_253160	447702	253160	B1029V5	1673957	3
WTCHG_447702_254125	447702	254125	B1031V4	1713662	3
WTCHG_447702_254172	447702	254172	B1029V6	1624344	3
WTCHG_447702_255113	447702	255113	B1031V5	1716479	3
WTCHG_447702_255184	447702	255184	B1029V7	1975516	3
WTCHG_447702_256101	447702	256101	B1031V6	1950216	3
WTCHG_447702_256196	447702	256196	B1034V1	1859592	3
WTCHG_447702_257101	447702	257101	B1001V2	1880851	3
WTCHG_447702_257196	447702	257196	B1034V2	1758330	3
WTCHG_447702_258113	447702	258113	B1001V3	1369708	3
WTCHG_447702_258184	447702	258184	B1034V3	1718021	3
WTCHG_447702_259125	447702	259125	B1001V4	1854853	3
WTCHG_447702_259172	447702	259172	B1034V4	1628388	3
WTCHG_447702_260137	447702	260137	B1001V5	2063459	3
WTCHG_447702_260160	447702	260160	B1034V5	1737461	3
WTCHG_447702_261148	447702	261148	B1034V6	1609686	3
WTCHG_447702_261149	447702	261149	B1001V6	1710735	3
WTCHG_447702_262136	447702	262136	B1034V7	1603617	3
