WTCHG	lane_id	seq_id	sampleID	count	batch
WTCHG_487926_269146	487926	269146	BHM00254	3387855	5
WTCHG_487926_270134	487926	270134	BHM00255	3208230	5
WTCHG_487926_271122	487926	271122	BHM00256	3159883	5
WTCHG_487926_272110	487926	272110	BHM00258	3231876	5
WTCHG_487926_273193	487926	273193	BHM00259	4652726	5
WTCHG_487926_274181	487926	274181	BHM00260	3792485	5
WTCHG_487926_275169	487926	275169	BHM00261	3295209	5
WTCHG_487926_276157	487926	276157	BHM00271	3306813	5
WTCHG_487926_277145	487926	277145	BHM00274	2932547	5
WTCHG_487926_278133	487926	278133	BHM00272	3068771	5
WTCHG_487926_279121	487926	279121	BHM00277	3278720	5
WTCHG_487926_280109	487926	280109	BHM00278	3131325	5
WTCHG_487926_281192	487926	281192	BHM00280	3312157	5
WTCHG_487926_282180	487926	282180	BHM00285	3195383	5
WTCHG_487926_283168	487926	283168	BHM00286	3302994	5
WTCHG_487926_284156	487926	284156	BHM00287	3317576	5
WTCHG_487926_285144	487926	285144	BHM00288	3216786	5
WTCHG_487926_286132	487926	286132	BHM00290	3107279	5
WTCHG_487926_287120	487926	287120	OAS00072	3160150	5
WTCHG_487926_288108	487926	288108	OAS00082	3157609	5
WTCHG_487926_289191	487926	289191	OAS00084	3552383	5
WTCHG_487926_290179	487926	290179	OAS00087	3114837	5
WTCHG_487926_291167	487926	291167	OAS00088	3212970	5
WTCHG_487926_292155	487926	292155	OAS00090	3061459	5
WTCHG_487926_293143	487926	293143	OAS00091	3053577	5
WTCHG_487926_294131	487926	294131	OAS00092	3154419	5
WTCHG_487926_295119	487926	295119	OAS00100	2790547	5
WTCHG_487926_296107	487926	296107	OAS00108	3165580	5
WTCHG_487927_201190	487927	201190	UCL00017	3345105	5
WTCHG_487927_202178	487927	202178	UCL00027	3500174	5
WTCHG_487927_203166	487927	203166	UCL00028	3498273	5
WTCHG_487927_204154	487927	204154	UCL00029	3409721	5
WTCHG_487927_205142	487927	205142	NCL00045	3622299	5
WTCHG_487927_206130	487927	206130	NCL00047	3686388	5
WTCHG_487927_207118	487927	207118	NCL00048	3561687	5
WTCHG_487927_208106	487927	208106	NCL00052	3320523	5
WTCHG_487927_209189	487927	209189	NCL00058	3538429	5
WTCHG_487927_210177	487927	210177	NCL00059	3513011	5
WTCHG_487927_211165	487927	211165	NCL00061	3478567	5
WTCHG_487927_212153	487927	212153	NCL00062	3409540	5
WTCHG_487927_213141	487927	213141	NCL00063	3606717	5
WTCHG_487927_214129	487927	214129	NCL00064	3036990	5
WTCHG_487927_215117	487927	215117	NCL00066	3508088	5
WTCHG_487927_216105	487927	216105	NCL00068	3071529	5
WTCHG_487927_217188	487927	217188	NCL00070	3424344	5
WTCHG_487927_218176	487927	218176	NCL00071	3472652	5
WTCHG_487927_219164	487927	219164	NCL00072	3561799	5
WTCHG_487927_220152	487927	220152	NCL00073	3418189	5
WTCHG_487927_221140	487927	221140	NCL00075	3517023	5
WTCHG_487927_222128	487927	222128	NCL00076	3432812	5
WTCHG_487927_223116	487927	223116	NCL00077	3655165	5
WTCHG_487927_224104	487927	224104	NCL00078	3408437	5
WTCHG_487927_225187	487927	225187	NCL00080	3568003	5
WTCHG_487927_226175	487927	226175	NCL00082	3614590	5
WTCHG_487927_227163	487927	227163	NCL00083	3331949	5
WTCHG_487927_228151	487927	228151	NCL00088	3414652	5
WTCHG_487927_229139	487927	229139	NCL00089	3459297	5
WTCHG_487927_230127	487927	230127	NCL00090	3254831	5
WTCHG_487927_231115	487927	231115	NCL00092	3131810	5
WTCHG_487927_232103	487927	232103	NCL00093	3318599	5
WTCHG_487927_233186	487927	233186	NCL00094	2989124	5
WTCHG_487927_234174	487927	234174	NCL00095	3782423	5
WTCHG_487927_235162	487927	235162	NCL00096	3036432	5
WTCHG_487927_236150	487927	236150	NCL00097	3587806	5
WTCHG_487927_237138	487927	237138	NCL00098	3077515	5
WTCHG_487927_238126	487927	238126	NCL00099	3262020	5
WTCHG_487927_239114	487927	239114	NCL00100	3544845	5
WTCHG_487927_240102	487927	240102	NCL00101	3573016	5
WTCHG_487927_241185	487927	241185	NCL00102	3441327	5
WTCHG_487927_242173	487927	242173	NCL00103	3539633	5
WTCHG_487927_243161	487927	243161	NCL00106	3661515	5
WTCHG_487927_244149	487927	244149	NCL00107	3521328	5
WTCHG_487927_245137	487927	245137	NCL00108	3375367	5
WTCHG_487927_246125	487927	246125	NCL00109	3616124	5
WTCHG_487927_247113	487927	247113	NCL00111	3374976	5
WTCHG_487927_248101	487927	248101	NCL00113	3485558	5
WTCHG_487927_249196	487927	249196	BHM00203	2658556	5
WTCHG_487927_250184	487927	250184	BHM00204	3575663	5
WTCHG_487927_251172	487927	251172	BHM00215	3525561	5
WTCHG_487927_252160	487927	252160	BHM00217	3367379	5
WTCHG_487927_253148	487927	253148	BHM00218	3331702	5
